"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"Harris Teeter","Eddie","Liwhorne","159 Community St","Charlottesville","VA","22911","A","Male","General Mgr","4348720017","62-449-3631","100 to 249","$20-50 Million","(434) 872-0009","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Harris Teeter","Jeff","Parr","545 Radford Ln # A","Charlottesville","VA","22903","A","Male","Manager","4348234196","69-410-0512","100 to 249","$20-50 Million","(434) 823-1184","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Harris Teeter","Robbie","Childs","975 Emmet St N # C","Charlottesville","VA","22903","A+","Male","Director","","52-551-6258","100 to 249","$20-50 Million","(434) 984-2900","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Hickman's Grocery","Andy","Hickman","1311 Beech Grove Rd","Roseland","VA","22967","C","Male","Owner","","86-843-2246","1 to 4","$500,000-1 Million","(434) 361-1205","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Hilltop Grocery","Donald","Foster","2808 Hydraulic Rd","Charlottesville","VA","22901","B+","Male","Owner","","71-269-8620","5 to 9","$1-2.5 Million","(434) 973-6480","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Holly's Market","June","Holly","4374 James Madison Hwy","Gordonsville","VA","22942","B","Female","Owner","","54-539-7432","5 to 9","$2.5-5 Million","(540) 832-3344","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Hunt Country Corner","Nancy","Kallander","2048 Garth Rd","Charlottesville","VA","22901","B","Female","Owner","","58-876-0348","5 to 9","$1-2.5 Million","(434) 296-1648","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"In & Out Market","Asim","Khan","2724 Irish Rd","Esmont","VA","22937","C+","Male","Owner","4342864987","52-550-0955","1 to 4","$1-2.5 Million","(434) 286-2799","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Indian Bazaar","","","722 Rio Road West # 1","Charlottesville","VA","22901","C","","","","26-523-1753","1 to 4","Less Than $500,000","(434) 245-1610","549902","Spices","549902","Spices","Verified"
"Integral Yoga Natural Foods","Laila","Lyon","923 Preston Ave # H","Charlottesville","VA","22903","A","Female","General Mgr","4342959051","12-352-8432","20 to 49","$5-10 Million","(434) 293-4111","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Jake's Gas & Go","Jake","Alexander","4108 James Madison Hwy","Fork Union","VA","23055","B","Male","Owner","","26-064-3820","1 to 4","$1-2.5 Million","(434) 842-1000","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Johnny's Quik Stop","John","Tanner","2172 Pendleton Rd","Mineral","VA","23117","B+","Male","Owner","","45-931-3755","5 to 9","$1-2.5 Million","(540) 894-4949","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Joy's Food Store","Jacob","Salah","7653 Rockfish Gap Tpke","Greenwood","VA","22943","B","Male","Manager","5404566340","31-166-5566","1 to 4","$1-2.5 Million","(540) 456-6340","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Junction","Bob","Rodgers","2851 Patrick Henry Hwy","Arrington","VA","22922","B","Male","Owner","","24-089-2398","1 to 4","Less Than $500,000","(434) 277-9552","541103","Convenience Stores","541103","Convenience Stores","Verified"
"K & B Market","Arsh","Maredia","17561 Louisa Rd","Louisa","VA","23093","B","Male","Owner","","93-454-7969","5 to 9","$2.5-5 Million","(540) 967-1520","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Kidd's Store","Vince","Madison","8469 W River Rd","Scottsville","VA","24590","B+","Male","Owner","","95-896-2227","5 to 9","$500,000-1 Million","(434) 286-3477","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Krispy Krunchy Chicken","","","2172 Pendleton Rd","Mineral","VA","23117","C+","","","","71-183-9913","1 to 4","Less Than $500,000","(540) 894-4949","581208","Restaurants","581208","Restaurants","Verified"
"Krispy Krunchy Chicken","","","2983 New Bridge Rd","Mineral","VA","23117","C+","","","","70-811-8022","1 to 4","Less Than $500,000","(540) 894-0003","581208","Restaurants","581208","Restaurants","Verified"
"Kroger","Rebecca","Andrus","1159 Emmet St N","Charlottesville","VA","22903","A+","Female","General Mgr","4342951664","30-787-2499","100 to 249","$20-50 Million","(434) 293-5176","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger","Brian","Simpkins","1904 Emmet St N","Charlottesville","VA","22901","C+","Male","General Mgr","4342933858","40-050-6710","1 to 4","$1-2.5 Million","(434) 295-8334","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger","","","1980 Rio Hill Ctr # 2","Charlottesville","VA","22901","B+","","","","74-491-5578","50 to 99","$10-20 Million","(434) 978-1311","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger Deli","Rosa","Hearns","1159 Emmet St N","Charlottesville","VA","22903","C+","Female","Manager","","40-050-6750","1 to 4","Less Than $500,000","(434) 293-5176","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger Deli","Shana","Hearns","1904 Emmet St N","Charlottesville","VA","22901","B+","Female","Manager","","40-050-6706","5 to 9","$1-2.5 Million","(434) 295-8334","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger Deli","Shalema","Ferguson","1980 Rio Hill Ctr","Charlottesville","VA","22901","B+","Female","Site Manager","","40-050-6724","100 to 249","$20-50 Million","(434) 978-1311","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Kroger Fuel Ctr","Samantha","Mc Fadden","1904 Emmet St N","Charlottesville","VA","22901","B","Female","Site Manager","","39-740-0433","1 to 4","$1-2.5 Million","Not Available","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"LA Guadalupana","","","409 Earhart St","Charlottesville","VA","22903","B","","","","42-625-4451","5 to 9","$1-2.5 Million","(434) 295-9671","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"LA Guadalupana Mexican","Jaidy","Polania","221 Carlton Rd # 15","Charlottesville","VA","22902","C+","Female","Owner","","23-796-4036","1 to 4","Less Than $500,000","(434) 977-5556","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Loaves & Fishes Food Pantry","Jane","Colny Mills","2050 Lambs Rd","Charlottesville","VA","22901","B","Female","Exec Director","","73-642-3820","5 to 9","","(434) 996-7868","839998","Non-Profit Organizations","839998","Non-Profit Organizations","Verified"
"Louisa Mini Mart","Andy","Lemon","305 W Main St","Louisa","VA","23093","B+","Male","Manager","","12-359-7643","5 to 9","$2.5-5 Million","(540) 967-1088","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Lucky Management Co","Michelle","Shumaker","305 Valley St","Scottsville","VA","24590","B","Female","Manager","","71-466-0370","10 to 19","$5-10 Million","(434) 286-4154","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Mac Queen's Grocery","J D","Singh","15896 Jefferson Hwy","Bumpass","VA","23024","B+","Male","Owner","5408723024","47-506-6403","10 to 19","$1-2.5 Million","(540) 872-3024","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Mac's Country Store","Elizabeth","Brown","7023 Patrick Henry Hwy","Roseland","VA","22967","C+","Female","Owner","","69-536-9942","1 to 4","$1-2.5 Million","(434) 277-5305","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Mainali Business Group","Lila","Dhigtal","1915 Boulderview Rd","Charlottesville","VA","22911","B","Male","Manager","","72-142-0816","5 to 9","$1-2.5 Million","(434) 328-8756","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market","","","1154 5th St SW","Charlottesville","VA","22902","B+","","","","42-708-5064","1 to 4","$500,000-1 Million","(434) 971-6614","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market","Jacqueline","Johns","1345 Parham Cir","Charlottesville","VA","22902","A","Female","Manager","4348171576","39-740-3833","20 to 49","$5-10 Million","(434) 817-1570","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market","","","2401 Ivy Rd","Charlottesville","VA","22903","B","","","","43-976-8283","1 to 4","$500,000-1 Million","(434) 971-6608","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market","Donnie","Ward","40 Heritage Dr","Palmyra","VA","22963","B+","Male","Manager","","56-225-3138","5 to 9","$500,000-1 Million","(434) 591-0713","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market At 5th Street","Niall","Hayden","1154 5th St SW","Charlottesville","VA","22902","A","Male","Manager","","71-270-3594","10 to 19","$5-10 Million","(434) 971-6614","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Market Convenience Stores","","","200 Carlton Rd","Charlottesville","VA","22902","C+","","","","71-751-1451","1 to 4","$500,000-1 Million","(434) 293-6157","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Market Street","Raphael","Strumlauf","400 East Market St","Charlottesville","VA","22902","B+","Male","Owner","","71-501-6416","10 to 19","$1-2.5 Million","(434) 293-3478","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Market Street Cafe","Surass","Gautam","1111 Rio Road East","Charlottesville","VA","22901","B+","Male","Owner","","56-224-4228","5 to 9","$1-2.5 Million","(434) 964-1185","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Mighty Mart","Arsh","Mardia","584 James Madison Hwy","Gordonsville","VA","22942","B","Male","Owner","","71-194-6178","1 to 4","$1-2.5 Million","(540) 832-5255","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Mill Creek Market","Jackie","Johns","1345 Parham Cir","Charlottesville","VA","22902","B","Female","Manager","","73-772-4868","20 to 49","$5-10 Million","(434) 817-1570","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Millers Market","A J","Singh","628 Mineral Ave","Mineral","VA","23117","B+","Male","Owner","5408944305","85-734-9518","10 to 19","$1-2.5 Million","(540) 894-5114","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Nelson Food Market","C M","Price Sr","40 Front St","Lovingston","VA","22949","B","Male","Owner","","12-355-8801","1 to 4","Less Than $500,000","(434) 263-4289","541103","Convenience Stores","541103","Convenience Stores","Verified"
"New Bridge Market","","","2983 New Bridge Rd","Mineral","VA","23117","C+","","","","40-293-9310","1 to 4","$1-2.5 Million","(540) 894-0003","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Nourish Louisa LLC","Kristin","Hicks","205 W Main St","Louisa","VA","23093","U","Female","Owner","","73-388-2588","1 to 4","Less Than $500,000","(540) 603-2068","531104","Retail Shops","531104","Retail Shops","Verified"
"Pantry Inc The No 3206","","","1099 Rio Road East","Charlottesville","VA","22901","B","","","","70-517-4196","5 to 9","$1-2.5 Million","(434) 978-1279","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Payton's Grocery","Jong","Yoo","9658 Spotswood Trl","Stanardsville","VA","22973","B","Male","Owner","4349853699","52-551-7355","1 to 4","$2.5-5 Million","(434) 985-3699","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Piedmont Store","Dwayne","Baber","2958 Browns Gap Tpke","Crozet","VA","22932","C+","Male","Owner","","21-828-2788","1 to 4","$1-2.5 Million","(434) 823-6670","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Pit Stop","Amanda","Fisher","1300 Cross County Rd","Mineral","VA","23117","B","Female","Manager","","39-244-6266","10 to 19","$5-10 Million","(804) 556-2668","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Quick Stop","","","1301 E High St","Charlottesville","VA","22902","U","","","","74-700-6733","1 to 4","$500,000-1 Million","(434) 465-2195","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Quik Mart","","","1207 Grady Ave","Charlottesville","VA","22903","C+","","","","73-756-1454","1 to 4","$500,000-1 Million","(434) 295-2147","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Quik Pik Convenience Stores","Nadem","Khan","2102 Angus Rd","Charlottesville","VA","22901","C+","Male","Owner","","12-354-2458","1 to 4","Less Than $500,000","(434) 295-1023","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Reid Super-Save Market","Billy","Clements","600 Preston Ave","Charlottesville","VA","22903","A","Male","General Mgr","4342959218","30-355-2335","20 to 49","$5-10 Million","(434) 295-4149","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Retail Relay Inc","Zach D","Buckner","1139a River Rd","Charlottesville","VA","22901","B","Male","CEO","","41-501-9379","5 to 9","$500,000-1 Million","(703) 303-2878","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Ruckersville Food Store","Errol","Bodin","13793 Spotswood Trl","Ruckersville","VA","22968","B","Male","Manager","","23-238-3554","1 to 4","$2.5-5 Million","(434) 985-6713","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"S Parrish Grocery","Robert","Parrish","PO Box 69","Gum Spring","VA","23065","B","Male","Owner","","42-063-9547","5 to 9","$1-2.5 Million","(804) 556-4788","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Sam's Club","Chad","Kelley","970 Hilton Heights Rd","Charlottesville","VA","22901","A","Male","General Mgr","4349781442","46-610-6705","5 to 9","$5-10 Million","(434) 978-2122","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Seven Day Junior","Sam","Desai","111 Maury Ave","Charlottesville","VA","22903","B+","Male","Owner","","56-224-1356","5 to 9","$1-2.5 Million","(434) 296-3113","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Shady's Place Inc","Forrest","Wood","15819 Thomas Nelson Hwy","Lovingston","VA","22949","B","Male","Owner","","43-675-8122","5 to 9","$2.5-5 Million","(434) 263-5024","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Shaklee Distributor","Dorothy","Chappell","PO Box 1914","Charlottesville","VA","22903","C+","Female","Owner","","42-058-2128","1 to 4","Less Than $500,000","(434) 296-9016","549901","Health & Diet Foods-Retail","549901","Health & Diet Foods-Retail","Verified"
"Sheetz","Don","Kerr","7020 Seminole Trl","Ruckersville","VA","22968","A+","Male","Manager","4349854749","97-714-7552","20 to 49","$5-10 Million","(434) 985-4007","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Sheetz","","","135 Market St","Zion Crossroads","VA","22942","A","","","","42-168-3672","20 to 49","$2.5-5 Million","(540) 832-0205","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Sheetz Inc","","","216 East Main St","Louisa","VA","23093","A","","","","71-805-3155","20 to 49","$2.5-5 Million","(540) 967-0941","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Speedway","Sheila","Brooks","1172 Richmond Rd","Charlottesville","VA","22911","B+","Female","Site Manager","","52-551-4311","5 to 9","$1-2.5 Million","(434) 295-1687","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Speedway","Abdou","Jallow","1600 Seminole Trl","Charlottesville","VA","22901","C+","Male","Site Manager","","63-836-3978","1 to 4","$500,000-1 Million","(434) 975-1600","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Speedway","Anita","Priest","2235 Seminole Ln","Charlottesville","VA","22901","B+","Female","Site Manager","","35-473-0830","5 to 9","$1-2.5 Million","(434) 973-3399","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Spice Diva","Phyllis","Hunter","410 W Main St","Charlottesville","VA","22903","C+","Female","Other","","41-559-0063","1 to 4","$500,000-1 Million","(434) 218-3482","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Stop In Food Stores","Jan","Powell","1129 Richmond Rd","Charlottesville","VA","22911","B","Female","Manager","","56-224-0531","5 to 9","$2.5-5 Million","(434) 295-8640","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Stop In Food Stores","Tammy","Shisflett","1220 Seminole Trl","Charlottesville","VA","22901","B+","Female","Site Manager","","95-889-7274","10 to 19","$5-10 Million","(434) 973-1005","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Stop In Food Stores","Bernard","Carr","2212 Ivy Rd","Charlottesville","VA","22903","B","Male","Site Manager","4342938612","90-996-5733","10 to 19","$5-10 Million","(434) 979-4500","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Summers Market","","","1601 Earlysville Rd","Charlottesville","VA","22901","B","","","","35-880-3294","5 to 9","$2.5-5 Million","(434) 975-3355","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Sunny Mountain Store","Sandeep","Kumar","10749 Thomas Nelson Hwy","Lovingston","VA","22949","B","Male","Owner","","12-355-8892","1 to 4","Less Than $500,000","(434) 263-4080","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Sunshine Minimart","","","827 Cherry Ave","Charlottesville","VA","22903","C+","","","","48-865-8121","1 to 4","Less Than $500,000","(434) 293-8107","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Suresh, Gautam","Gautam","Suresh","2613 Barracks Rd","Charlottesville","VA","22901","B","Male","","","43-818-4803","5 to 9","$1-2.5 Million","(434) 293-3926","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"T H Bruce's Store","T H","Bruce","3156 Cedar Lane Rd","Kents Store","VA","23084","C+","Male","Owner","","26-523-0615","1 to 4","$1-2.5 Million","(434) 589-2887","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Target","Tim","Turley","312 Connor Dr","Charlottesville","VA","22911","A","Male","Site Manager","4344229922","26-347-7705","100 to 249","$20-50 Million","(434) 964-0231","531102","Department Stores","531102","Department Stores","Verified"
"Tarleton's Oak Food Mart","Wayne","Breeden","815 E High St","Charlottesville","VA","22902","B","Male","Owner","4342937703","12-354-5758","5 to 9","$2.5-5 Million","(434) 293-4590","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Tiger Fuel","Gordon","Sutton","601 Preston Ave","Charlottesville","VA","22903","B","Male","Manager","","73-728-7021","5 to 9","$10-20 Million","(434) 284-8206","291104","Oils-Petroleum-Manufacturers","291104","Oils-Petroleum-Manufacturers","Verified"
"Timbercreek Market","Levi","Houk","2245a Garth Rd","Charlottesville","VA","22901","B","Male","Manager","","71-531-9623","10 to 19","Less Than $500,000","(434) 202-8052","581208","Restaurants","581208","Restaurants","Verified"
"Tom Thumb Food Mart","","","828 Cherry Ave","Charlottesville","VA","22903","B+","","","","56-224-9755","5 to 9","$500,000-1 Million","(434) 984-5108","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Trader Joe's","Philip","Lockard","2025 Bond St","Charlottesville","VA","22901","A","Male","General Mgr","","42-364-2789","50 to 99","$10-20 Million","(434) 974-1466","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Trading Post","Lisa","Stokes","8609 Dyke Rd","Dyke","VA","22935","B+","Female","Owner","4349859005","30-035-4164","5 to 9","$1-2.5 Million","(434) 985-2358","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Trading Post","John","Ekman","3017 Monacan Trail Rd","North Garden","VA","22959","B","Male","Owner","","12-355-9593","5 to 9","$2.5-5 Million","(434) 296-2932","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Union Star Intl","Hui","Qiao","1195 Seminole Trl","Charlottesville","VA","22901","C+","Female","Owner","","40-069-8111","1 to 4","Less Than $500,000","(434) 984-4903","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Virginia Oil Co","","","44 Callohill Dr","Lovingston","VA","22949","B+","","","","56-654-8921","5 to 9","$5-10 Million","(434) 263-6060","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Vohra Enterprises Inc The Str","","","1201 6th St SE","Charlottesville","VA","22902","C+","","","","12-354-6046","1 to 4","Less Than $500,000","(434) 293-8497","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Walmart Grocery Pickup","","","164 Camp Creek Pkwy","Zion Crossroads","VA","22942","C+","","","","73-855-9048","1 to 4","Less Than $500,000","(540) 629-3225","541110","Grocery Pickup-Curbside","541110","Grocery Pickup-Curbside","Verified"
"Walmart Grocery Pkup-Delivery","Heather","Huff","975 Hilton Heights Rd","Charlottesville","VA","22901","B+","Female","Manager","","73-935-6461","20 to 49","$5-10 Million","(434) 906-1476","541110","Grocery Pickup-Curbside","541110","Grocery Pickup-Curbside","Verified"
"Walmart Grocery Pkup-Delivery","Veronica","Crandell","135 Stoneridge Dr N","Ruckersville","VA","22968","B+","Female","Site Manager","","72-855-3655","10 to 19","$1-2.5 Million","(434) 363-5302","541110","Grocery Pickup-Curbside","541110","Grocery Pickup-Curbside","Verified"
"Walmart Supercenter","Jeff","Waite","975 Hilton Heights Rd","Charlottesville","VA","22901","A+","Male","General Mgr","4349737544","46-610-6416","250 to 499","$50-100 Million","(434) 973-1412","531102","Department Stores","531102","Department Stores","Verified"
"Walmart Supercenter","Michele","Upton","135 Stoneridge Dr N","Ruckersville","VA","22968","A","Female","Manager","","40-255-4426","250 to 499","$20-50 Million","(434) 990-6013","531102","Department Stores","531102","Department Stores","Verified"
"Walmart Supercenter","Sanjay","Spencer","164 Camp Creek Pkwy","Zion Crossroads","VA","22942","A","Male","Manager","","71-677-5143","250 to 499","$20-50 Million","(540) 832-1841","531102","Department Stores","531102","Department Stores","Verified"
"Wawa Food Market","Linda","Andreas","3267 Proffit Rd","Charlottesville","VA","22911","U","Female","Manager","","76-086-4137","","","(434) 260-0074","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Wawa Food Market","","","820 Pantops Corner Way","Charlottesville","VA","22911","U","","","","76-084-6787","","","(434) 485-0344","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Wayside Mart","Calvin","Cummings","2200 Jefferson Park Ave","Charlottesville","VA","22903","B","Male","Owner","","12-355-3927","1 to 4","$500,000-1 Million","(434) 295-2952","592103","Wines-Retail","592103","Wines-Retail","Verified"
"Wegmans","Heath","Gebell","100 Wegmans Way","Charlottesville","VA","22902","A","Male","Manager","","72-277-5412","500 to 999","$100-500 Million","(434) 529-3200","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Westpark Market","Nadeem","Khan","490 Four Seasons Dr","Charlottesville","VA","22901","C+","Male","Owner","","64-023-5479","5 to 9","Less Than $500,000","(434) 973-4259","799943","Lottery Agents","799943","Lottery Agents","Verified"
"Whole Foods Market","Chip","Hughes","1797 Hydraulic Rd","Charlottesville","VA","22901","A","Male","General Mgr","4349734650","46-610-6960","250 to 499","$50-100 Million","(434) 973-4900","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Williams Grocery","Jane","Williams","439 Williamstown Rd","Shipman","VA","22971","C+","Female","Owner","","40-010-3530","1 to 4","Less Than $500,000","(434) 263-4746","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Wyant Store","David","Wyant","Highway 614 & 810","Charlottesville","VA","22903","C+","Male","Owner","","46-611-3842","1 to 4","$1-2.5 Million","(434) 823-7299","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Yazy Corp","","","11309 James","Shipman","VA","22971","B","","","","42-630-9579","1 to 4","$500,000-1 Million","(434) 263-5500","541103","Convenience Stores","541103","Convenience Stores","Verified"
